                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     25,                0.39184,                0.57966,                0.34731,                0.87295,                0.99942,                0.96429,                0.96895,                0.95347,                0.99942,                0.96429,                0.96895,                0.89487,                0.24506,                0.38034,                0.24217,                0.79497,              0.0015248,              0.0015248,              0.0015248
                     26,                0.36797,                0.56629,                0.31888,                0.86181,                0.99948,                0.96429,                0.97344,                 0.9606,                0.99948,                0.96429,                0.97344,                0.90307,                0.23775,                0.45438,                0.26428,                 0.7932,               0.001505,               0.001505,               0.001505
                     27,                 0.3731,                0.54682,                0.32585,                0.86413,                0.98969,                0.94643,                0.96582,                0.93629,                0.98969,                0.94643,                0.96582,                0.87883,                0.28098,                0.46173,                0.32697,                0.82449,              0.0014852,              0.0014852,              0.0014852
                     28,                0.38373,                0.59169,                0.34288,                0.87605,                0.99944,                0.96429,                0.96846,                0.94996,                0.99944,                0.96429,                0.96846,                 0.9033,                0.27692,                0.40388,                0.26173,                0.80626,              0.0014654,              0.0014654,              0.0014654
                     29,                0.37658,                0.58335,                0.33739,                 0.8739,                0.99593,                0.94643,                0.97167,                0.95191,                0.99593,                0.94643,                0.97167,                0.88673,                0.26388,                0.41848,                0.30133,                0.80258,              0.0014456,              0.0014456,              0.0014456
                     30,                0.37396,                0.58059,                0.33278,                0.86579,                0.99918,                0.95536,                0.98019,                0.94429,                0.99918,                0.95536,                0.98019,                0.74769,                0.28032,                0.93834,                 0.2829,                0.80923,              0.0014258,              0.0014258,              0.0014258
                     31,                0.36393,                0.52003,                0.31671,                0.85904,                0.99896,                0.96429,                0.97212,                0.94125,                0.99896,                0.96429,                0.97212,                0.87692,                0.27097,                0.44898,                0.24865,                0.79842,               0.001406,               0.001406,               0.001406
                     32,                0.36104,                0.49725,                0.31276,                0.86643,                0.99917,                0.96429,                0.97063,                0.95688,                0.99917,                0.96429,                0.97063,                0.90615,                 0.2423,                 0.3823,                0.24204,                0.79151,              0.0013862,              0.0013862,              0.0013862
                     33,                0.37927,                0.54262,                0.31559,                0.85922,                0.99926,                0.96429,                0.97392,                0.94779,                0.99926,                0.96429,                0.97392,                0.91137,                0.26092,                0.36887,                0.22948,                0.79875,              0.0013664,              0.0013664,              0.0013664
                     34,                0.35326,                 0.5102,                0.30567,                0.85269,                0.99909,                0.96429,                0.97031,                0.95836,                0.99909,                0.96429,                0.97031,                0.91236,                0.23706,                0.35559,                0.23459,                0.79322,              0.0013466,              0.0013466,              0.0013466
